Desconto,Lucro
0.0,802.17
0.0,2939.31
0.0,119.97
0.0,328.23
0.1,484.224
0.0,664.44
0.0,594.72
0.4,191.9968
0.0,977.22
0.0,833.76
0.0,361.44
0.0,830.55
0.1,378.876
0.15,325.701
0.0,593.91
0.1,498.807
0.1,734.928
0.2,1049.985
0.2,-1049.3406
0.0,606.36
0.0,140.16
0.0,856.44
0.2,1453.1238
0.0,1989.54
0.0,412.5394
0.2,209.58
0.0,327.5922
0.0,946.68
0.07,709.9365
0.0,1420.02
0.15,357.1575
0.7,-2750.28
0.1,444.483
0.0,401.814
0.4,38.196
0.0,1072.44
0.0,394.65
0.0,700.98
0.0,814.2
0.0,886.68
0.3,-221.571
0.0,111.28
0.0,126.4
0.4,-509.997
0.0,742.632
0.0,1276.4871
0.0,54.3
0.0,106.0
0.0,140.22
0.15,-225.162
0.1,383.706
0.1,1112.13
0.17,318.8598
0.0,322.92
0.0,390.6
0.002,18.8592
0.4,44.436
0.0,1245.84
0.0,890.46
0.0,455.76
0.0,413.28
0.1,-11.16
0.27,117.657
0.17,428.121
0.002,441.2884
0.5,-1268.04
0.1,621.792
0.0,735.0336
0.0,341.76
0.0,89.46
0.0,625.28
0.0,357.0
0.0,429.5772
0.2,381.297
0.2,374.9925
0.6,-1331.652
0.0,5039.9856
0.0,1563.48
0.0,556.9
0.4,-348.516
0.0,496.98
0.0,446.04
0.0,215.25
0.17,344.9718
0.1,-139.557
0.0,285.12
0.0,487.98
0.0,89.46
0.0,976.8
0.2,349.86
0.4,-870.3
0.2,-337.806
0.0,498.96
0.5,-27.828
0.0,714.0
0.2,607.608
0.0,845.7
0.07,10.8189
0.002,-2.1208
0.0,2817.99
0.1,-244.251
0.0,178.56
0.1,-35.091
0.0,719.85
0.0,123.75
0.0,558.72
0.0,261.9
0.0,110.28
0.0,1416.8
0.0,711.84
0.25,-483.3
0.07,-63.6462
0.0,2302.9671
0.0,12.69
0.0,49.5
0.0,8399.976
0.0,460.62
0.4,-290.8752
0.17,847.041
0.0,511.52
0.1,2316.51
0.1,-50.976
0.15,-76.5675
0.0,527.984
0.1,130.62
0.4,-619.596
0.0,69.36
0.15,200.9546
0.0,566.02
0.0,764.3818
0.4,-1359.992
0.0,612.99
0.3,-258.495
0.1,393.24
0.0,1228.1787
0.1,-13.923
0.35,-218.298
0.15,114.453
0.2,302.373
0.1,-0.216
0.0,1172.88
0.1,366.282
0.0,273.78
0.15,160.3136
0.0,449.991
0.1,250.992
0.2,1007.9832
0.0,355.44
0.5,-3009.435
0.3,726.825
0.15,287.919
0.0,161.76
0.1,182.688
0.1,737.925
0.17,-130.3863
0.1,195.285
0.0,348.81
0.1,90.81
0.002,13.20144
0.2,232.0
0.0,175.5
0.0,0.0
0.27,368.256
0.0,65.7
0.1,114.252
0.0,441.36
0.0,280.44
0.15,-129.726
0.17,-417.813
0.0,1042.32
0.0,207.06
0.0,905.7
0.0,741.6
0.0,234.36
0.0,384.81
0.1,-95.7
0.2,-337.806
0.2,160.77
0.0,674.73
0.65,-1303.056
0.0,46.88
0.0,756.0
0.0,265.44
0.0,426.58
0.1,191.316
0.2,-0.072
0.0,261.8
0.07,541.3698
0.0,327.06
0.0,296.94
0.0,732.72
0.0,323.955
0.0,205.56
0.0,471.94
0.0,460.62
0.0,1035.58
0.0,297.5
0.0,292.8
0.0,265.92
0.0,423.0085
0.0,682.92
0.1,844.116
0.0,242.64
0.0,250.38
0.2,112.392
0.2,207.475
0.0,1722.48
0.0,323.82
0.0,381.96
0.0,1093.92
0.4,-189.456
0.0,91.95
0.0,1563.48
0.0,585.552
0.0,743.988
0.0,224.88
0.0,176.96
0.35,202.185
0.0,1035.58
0.1,420.588
0.0,601.9699
0.35,198.636
0.0,447.75
0.2,500.976
0.1,17.532
0.0,1459.2
0.0,1233.0
0.0,568.44
0.07,211.2552
0.0,80.4
0.0,909.9818
0.0,534.48
0.0,909.54
0.1,459.0
0.15,324.3825
0.0,361.41
0.0,275.94
0.2,-0.024
0.0,471.6
0.0,158.64
0.0,393.39
0.0,741.5
0.0,304.7
0.1,-191.163
0.0,417.96
0.17,849.87
0.0,0.0
0.0,1602.99
0.0,842.52
0.0,861.48
0.0,95.04
0.1,511.095
0.0,952.2
0.0,258.9
0.17,339.8778
0.07,-128.7468
0.17,86.6364
0.0,712.44
0.0,228.36
0.0,978.84
0.0,84.96
0.1,116.952
0.07,1554.432
0.0,300.9
0.0,854.28
0.0,561.6
0.0,319.35
0.7,-913.176
0.0,90.0
0.1,44.04
0.0,970.2
0.0,390.8
0.1,276.534
0.0,195.44
0.1,353.133
0.0,1112.4
0.0,239.9058
0.5,-458.19
0.1,236.67
0.0,606.42
0.0,439.2
0.5,-993.195
0.0,767.2005
0.002,375.7774
0.2,290.598
0.35,68.31
0.0,293.16
0.0,481.47
0.0,225.36
0.25,-111.6
0.0,541.8
0.1,956.58
0.0,260.1
0.1,509.568
0.15,14.4315
0.2,300.076
0.0,33.3124
0.0,852.48
0.5,-3059.82
0.0,482.22
0.0,260.4
0.0,519.21
0.0,348.24
0.2,252.896
0.0,1159.9855
0.2,-18.18
0.2,874.9875
0.0,653.4
0.0,319.8
0.0,122.85
0.0,244.2
0.1,232.68
0.5,-1023.03
0.0,583.38
0.0,460.08
0.0,246.84
0.0,839.04
0.1,-98.205
0.2,333.048
0.0,89.04
0.3,-953.442
0.0,352.08
0.0,553.98
0.0,119.55
0.2,215.9973
0.0,341.49
0.1,184.995
0.0,6.6
0.0,340.2
0.17,316.701
0.0,324.18
0.0,1246.8
0.0,573.12
0.1,-127.413
0.4,-292.1
0.0,0.0
0.0,40.95
0.0,992.16
0.4,-734.5264
0.0,341.73
0.0,1995.99
0.2,110.28
0.4,239.996
0.0,518.76
0.0,449.985
0.0,105.24
0.0,356.0414
0.0,747.72
0.0,260.82
0.0,751.7601
0.0,593.64
0.0,653.1
0.5,-776.325
0.0,1040.55
0.2,52.4979
0.0,332.7
0.0,188.64
0.0,175.5156
0.0,421.56
0.4,-295.9785
0.0,843.1706
0.0,226.92
0.0,1383.9
0.07,231.264
0.0,922.05
0.2,35.36
0.0,581.64
0.0,939.26
0.0,606.2
0.2,150.294
0.15,133.605
0.0,222.66
0.2,180.441
0.1,196.533
0.0,271.08
0.2,-207.844
0.0,320.04
0.0,873.36
0.15,274.9185
0.1,394.245
0.1,-9.492
0.0,391.77
0.17,-56.1114
0.0,67.84
0.0,168.3
0.15,359.3025
0.0,176.4
0.15,681.204
0.8,-2287.782
0.27,141.1884
0.0,568.32
0.0,829.5
0.0,83.281
0.2,405.72
0.1,-113.364
0.0,630.99
0.1,473.907
0.0,303.7
0.0,690.12
0.0,172.92
0.0,244.2496
0.0,1081.35
0.15,-68.7225
0.0,399.2994
0.2,312.676
0.0,391.35
0.0,274.08
0.2,-238.028
0.1,-103.608
0.0,746.4078
0.2,669.76
0.0,101.76
0.3,-15.4188
0.0,665.4
0.0,1537.83
0.15,-597.681
0.4,-133.728
0.1,499.446
0.0,772.68
0.0,381.78
0.0,173.25
0.0,185.64
0.0,74.16
0.0,183.24
0.0,131.82
0.1,1163.883
0.1,-102.411
0.07,-134.064
0.0,2447.1
0.6,-1806.24
0.0,961.38
0.0,291.3778
0.15,124.788
0.0,272.58
0.1,505.176
0.2,88.0299
0.0,2591.9568
0.0,0.0
0.0,256.41
0.0,238.98
0.2,944.9865
0.0,820.44
0.002,301.466
0.2,-786.0144
0.0,463.26
0.1,282.516
0.1,209.706
0.0,43.32
0.0,62.1
0.2,624.9875
0.0,793.716
0.2,90.972
0.0,266.58
0.0,1035.58
0.4,114.972
0.0,115.2
0.0,449.04
0.2,500.184
0.0,517.4793
0.3,-576.909
0.0,41.25
0.0,382.2
0.0,795.24
0.0,421.2
0.0,1341.15
0.2,-112.752
0.0,275.7
0.15,321.552
0.15,183.288
0.2,0.0
0.1,610.812
0.0,16.56
0.35,515.7525
0.1,345.15
0.2,121.9644
0.0,165.66
0.0,730.26
0.2,689.088
0.0,1264.7559
0.0,742.35
0.0,237.15
0.35,-1128.435
0.0,83.04
0.3,-487.368
0.3,-12.849
0.0,152.7
0.0,57.0
0.1,553.3902
0.0,508.95
0.0,469.44
0.07,46.9206
0.002,419.8032
0.0,930.48
0.2,20.9148
0.5,-1665.0522
0.1,858.9
0.25,189.42
0.15,-36.081
0.1,0.0
0.2,83.5128
0.2,59.6556
0.0,180.1
0.15,-0.12
0.0,202.32
0.0,284.1855
0.0,275.52
0.0,1989.54
0.0,364.4595
0.002,165.5986
0.0,610.8624
0.1,455.565
0.6,-571.32
0.1,18.0
0.7,-1172.736
0.0,323.4
0.2,230.128
0.0,286.56
0.0,246.72
0.1,325.611
0.0,241.38
0.1,-53.37
0.0,292.776
0.0,928.44
0.0,18.72
0.0,1528.38
0.1,21.69
0.0,300.735
0.4,-689.256
0.0,180.06
0.0,26.73
0.0,536.22
0.4,-706.248
0.0,346.0396
0.002,872.82816
0.0,899.1
0.0,778.92
0.1,953.274
0.5,-599.94
0.1,754.704
0.0,1141.2
0.17,667.113
0.0,626.185
0.0,567.0
0.0,55.89
0.2,247.996
0.0,91.2
0.1,94.836
0.0,1032.57
0.7,-1558.152
0.0,1015.02
0.0,742.632
0.0,286.56
0.0,148.68
0.0,781.74
0.0,222.76
0.17,756.8715
0.0,182.4
0.6,-880.956
0.47,-295.5096
0.1,382.176
0.0,200.52
0.4,-690.536
0.15,107.487
0.0,272.52
0.0,473.6106
0.2,213.216
0.35,-1021.671
0.17,391.4976
0.0,1341.15
0.002,195.34536
0.0,327.24
0.0,51.42
0.0,103.44
0.6,-407.136
0.0,505.8
0.0,820.32
0.1,901.56
0.5,-886.05
0.15,140.9568
0.0,26.16
0.1,108.783
0.0,1060.56
0.0,357.1911
0.0,98.28
0.0,241.1046
0.0,359.52
0.3,-445.113
0.1,639.51
0.0,455.64
0.0,259.02
0.0,1098.45
0.0,291.6
0.15,100.98
0.2,92.392
0.0,1423.44
0.002,148.3524
0.2,335.9944
0.3,-81.81
0.0,57.33
0.0,865.08
0.17,106.7412
0.17,-5.853
0.0,0.0
0.2,-0.032
0.2,111.517
0.0,1220.25
0.0,190.05
0.25,-396.4275
0.0,534.33
0.0,843.1706
0.0,9.0912
0.57,-1294.3503
0.0,397.53
0.3,-326.97
0.0,397.08
0.2,509.86
0.0,860.16
0.2,-96.96
0.4,-495.63
0.0,97.38
0.2,94.2784
0.1,-53.01
0.0,146.16
0.0,97.1946
0.0,899.982
0.5,-1736.28
0.2,249.995
0.0,82.26
0.0,141.96
0.0,79.56
0.0,69.3
0.0,488.6
0.17,-152.4924
0.2,353.5792
0.0,249.72
0.0,959.14
0.1,-0.126
0.0,139.98
0.1,296.082
0.0,714.96
0.0,310.8
0.4,-447.18
0.4,-813.492
0.0,291.6
0.0,1155.36
0.7,-2639.9912
0.002,178.94928
0.3,-117.882
0.1,-0.189
0.15,-195.4425
0.1,313.2624
0.0,169.14
0.0,209.993
0.1,-128.88
0.1,312.912
0.1,-60.27
0.15,70.49
0.2,145.782
0.0,338.22
0.0,102.84
0.0,292.8
0.0,115.32
0.2,43.4646
0.0,659.98
0.2,-63.756
0.0,123.75
0.15,7.263
0.0,1220.52
0.0,1080.54
0.2,682.5168
0.0,126.63
0.2,125.245
0.0,322.1829
0.1,-110.52
0.1,850.836
0.1,24.624
0.0,278.64
0.2,-88.2
0.2,44.22
0.0,289.2
0.0,516.36
0.1,-6.549
0.15,-29.664
0.0,336.635
0.0,534.4
0.0,374.3792
0.1,271.332
0.1,1188.81
0.0,297.6435
0.1,-136.26
0.002,327.9004
0.1,486.054
0.0,625.8
0.1,194.427
0.1,102.072
0.0,573.0
0.0,820.44
0.0,75.3732
0.4,-1479.126
0.0,231.24
0.0,337.41
0.0,1351.9896
0.1,588.735
0.0,65.04
0.2,209.979
0.0,701.9883
0.1,794.577
0.0,832.2
0.2,68.4
0.002,377.70176
0.1,616.815
0.0,429.3
0.0,1295.73
0.35,-623.94
0.1,284.004
0.0,378.274
0.17,247.6014
0.0,320.16
0.0,136.8
0.0,126.16
0.0,83.52
0.0,438.75
0.1,474.96
0.5,-486.465
0.0,174.78
0.0,110.34
0.0,1622.88
0.2,41.232
0.7,-412.6154
0.0,381.6
0.0,316.2
0.0,361.44
0.0,184.95
0.15,324.3825
0.1,521.766
0.0,230.4
0.4,-251.9958
0.1,-0.054
0.0,275.7
0.0,45.9
0.0,141.48
0.0,519.21
0.2,226.7946
0.0,311.46
0.3,-632.799
0.1,213.735
0.35,-135.144
0.0,75.68
0.0,22.08
0.0,890.82
0.0,126.54
0.0,518.76
0.0,63.6
0.0,15.12
0.0,790.47
0.37,-147.5229
0.0,224.94
0.0,13.08
0.0,780.24
0.0,333.36
0.2,148.704
0.0,80.28
0.4,69.999
0.2,126.336
0.0,411.18
0.2,180.64
0.0,212.76
0.0,170.88
0.0,927.6
0.1,-53.886
0.1,-8.37
0.0,976.8
0.0,479.88
0.0,96.39
0.2,-127.46
0.0,364.68
0.2,302.373
0.0,114.6
0.2,942.8157
0.1,178.95
0.4,104.616
0.3,-821.961
0.2,64.0728
0.0,286.5
0.0,110.0
0.17,-76.5585
0.27,298.5096
0.0,592.7896
0.0,728.7
0.2,-193.152
0.1,124.011
0.1,124.578
0.0,349.2
0.2,-146.1096
0.2,78.396
0.2,-553.878
0.0,48.06
0.0,239.52
0.1,-149.364
0.07,172.9125
0.0,327.12
0.0,108.9
0.17,399.9765
0.0,184.5
0.17,127.335
0.0,371.04
0.0,632.4
0.0,78.72
0.1,920.754
0.1,-27.936
0.0,255.48
0.0,101.22
0.1,923.535
0.2,-45.54
0.5,-571.9956
0.0,182.82
0.17,234.27
0.2,241.89
0.0,308.16
0.7,-938.28
0.2,150.888
0.17,39.552
0.0,506.52
0.1,274.08
0.0,182.28
0.1,20.622
0.0,716.4
0.4,-428.868
0.0,118.72
0.1,660.366
0.1,207.996
0.0,453.87
0.0,171.3
0.0,50.56
0.2,141.176
0.0,255.69
0.0,224.94
0.4,-236.88
0.0,103.8
0.1,494.403
0.47,-0.0525
0.15,89.07
0.1,1202.016
0.1,604.86
0.4,-705.096
0.0,449.88
0.0,68.7
0.0,157.8702
0.1,350.475
0.15,129.198
0.0,117.0104
0.002,225.4668
0.0,207.147
0.2,6.378
0.0,9.96
0.0,186.06
0.0,238.68
0.0,250.38
0.0,124.86
0.1,28.56
0.1,-41.805
0.0,558.72
0.1,232.083
0.0,174.6
0.0,236.34
0.3,-821.961
0.0,371.49
0.0,214.76
0.25,171.6975
0.2,335.9944
0.0,613.17
0.002,126.59256
0.17,381.717
0.2,286.713
0.0,140.58
0.0,405.36
0.4,-321.372
0.0,270.72
0.1,124.011
0.2,1061.5722
0.1,14.976
0.0,331.68
0.5,-177.39
0.5,-458.43
0.0,340.83
0.4,94.4937
0.2,179.73
0.0,1594.89
0.0,361.2994
0.1,188.01
0.0,438.75
0.1,132.168
0.0,205.92
0.17,396.6696
0.0,298.08
0.47,-916.0443
0.0,999.36
0.1,551.976
0.1,-124.659
0.47,-0.0525
0.1,-88.809
0.4,-1476.09
0.15,841.7925
0.15,594.216
0.25,-14.355
0.3,103.068
0.1,-30.429
0.0,923.44
0.0,156.24
0.1,704.628
0.6,-781.848
0.0,56.392
0.0,206.64
0.0,119.686
0.0,809.28
0.3,43.1991
0.1,547.569
0.0,579.81
0.1,75.93
0.3,-127.5792
0.1,193.608
0.0,573.12
0.0,129.8
0.0,364.8
0.1,135.855
0.0,132.3
0.0,352.0
0.2,240.28
0.0,923.37
0.0,546.96
0.402,-286.88704
0.0,655.65
0.0,238.653
0.5,-96.48
0.0,305.37
0.0,114.24
0.1,214.368
0.4,-113.998
0.002,251.6934
0.002,422.0524
0.07,227.2179
0.0,178.11
0.1,-0.336
0.0,168.1855
0.0,43.35
0.2,250.396
0.002,526.31992
0.0,356.4
0.2,569.9905
0.4,-253.4337
0.0,1463.07
0.0,91.38
0.0,529.83
0.002,5.65776
0.2,198.04
0.0,498.24
0.0,163.7874
0.0,151.0974
0.4,89.22
0.0,35.37
0.0,68.55
0.0,848.7
0.27,181.6512
0.0,254.52
0.0,741.6
0.1,101.214
0.1,340.872
0.0,317.16
0.07,903.9933
0.0,1013.127
0.0,486.8
0.0,706.68
0.2,532.392
0.1,941.688
0.0,239.94
0.0,781.74
0.0,431.76
0.0,327.14
0.17,-71.676
0.1,-0.072
0.6,-325.116
0.1,332.178
0.002,49.65156
0.1,199.782
0.15,534.213
0.0,81.45
0.3,-26.67
0.0,471.6
0.1,-54.963
0.0,181.68
0.0,479.52
0.0,445.86
0.0,400.32
0.1,208.608
0.15,-42.534
0.0,139.59
0.1,356.004
0.0,172.8
0.0,700.5
0.07,-13.9812
0.0,645.24
0.07,114.7785
0.1,286.974
0.0,103.2
0.0,216.72
0.1,-133.632
0.2,33.0
0.0,31.5
0.0,111.591
0.2,125.2692
0.0,938.7
0.17,227.757
0.0,1192.52
0.0,233.8
0.2,-204.312
0.0,115.92
0.27,-72.441
0.0,356.225
0.2,379.82
0.0,248.34
0.002,83.88576
0.7,-694.2936
0.0,153.84
0.2,73.194
0.15,187.53
0.15,151.0605
0.0,116.4
0.0,886.05
0.2,456.588
0.17,364.23
0.0,13.77
0.2,101.3832
0.0,413.04
0.0,400.8
0.1,36.624
0.1,323.46
0.002,713.22688
0.0,18.36
0.0,70.08
0.4,133.392
0.0,56.301
0.002,301.466
0.0,1484.16
0.002,20.15216
0.6,-260.616
0.0,168.72
0.0,481.05
0.0,495.84
0.0,38.43
0.0,539.2464
0.2,89.5888
0.0,70.1784
0.4,-306.216
0.1,408.876
0.2,86.3928
0.2,118.293
0.0,190.92
0.0,314.0586
0.1,302.73
0.1,609.7157
0.002,300.75424
0.0,0.0
0.1,282.126
0.0,355.4466
0.0,166.26
0.0,629.991
0.0,416.22
0.0,171.72
0.0,318.84
0.0,238.68
0.2,103.608
0.0,451.08
0.4,-306.012
0.0,479.88
0.1,-41.796
0.0,213.6888
0.0,449.88
0.0,996.6
0.1,243.48
0.0,259.74
0.0,120.84
0.15,206.556
0.0,198.15
0.1,592.812
0.0,369.54
0.25,-286.68
0.25,-28.59
0.5,-352.8
0.15,-175.026
0.1,375.735
0.0,496.26
0.2,125.997
0.0,38.88
0.2,-396.684
0.0,239.7
0.002,241.14696
0.0,448.92
0.1,117.72
0.2,-7.7247
0.0,292.8
0.0,237.6
0.002,120.57348
0.0,172.4
0.0,315.72
0.0,650.58
0.2,-182.637
0.0,110.4
0.0,654.7554
0.0,437.28
0.0,444.57
0.1,580.02
0.2,884.058
0.0,203.4
0.0,87.84
0.0,140.16
0.002,236.41296
0.1,214.74
0.0,139.32
0.0,290.0058
0.1,124.836
0.0,656.64
0.0,391.14
0.0,406.56
0.17,-429.3945
0.0,100.8
0.0,389.52
0.002,472.1272
0.8,-3701.8928
0.1,221.067
0.4,-263.196
0.0,36.12
0.0,420.39
0.0,209.52
0.0,305.13
0.0,887.6
0.25,822.66
0.0,135.98
0.2,85.2475
0.0,628.5
0.0,418.92
0.0,225.09
0.15,37.476
0.0,318.42
0.0,248.64
0.1,55.08
0.0,227.85
0.1,68.19
0.07,109.6215
0.0,496.26
0.0,135.6
0.002,44.079
0.0,45.0
0.1,259.587
0.5,-686.97
0.0,386.34
0.0,275.7
0.0,574.14
0.2,52.272
0.0,609.12
0.0,190.95
0.0,878.76
0.0,55.23
0.0,190.8
0.0,55.05
0.2,377.34
0.5,-655.86
0.0,1134.84
0.002,706.06144
0.8,-1850.9464
0.0,426.58
0.0,318.5
0.0,360.48
0.0,178.2
0.0,265.02
0.8,-729.9138
0.0,310.8
0.4,-284.256
0.15,356.142
0.0,536.46
0.0,55.0
0.15,248.0355
0.1,720.75
0.17,371.4021
0.1,124.902
0.0,146.64
0.1,110.421
0.15,138.8325
0.0,102.42
0.5,-1672.5
0.0,27.09
0.0,24.3
0.0,775.98
0.1,213.972
0.7,-760.98
0.0,434.4
0.0,57.6
0.1,1439.448
0.2,105.0228
0.47,-575.3142
0.15,21.519
0.15,9.342
0.0,714.0
0.15,-15.516
0.1,209.274
0.0,0.0
0.07,288.4446
0.0,91.62
0.0,752.64
0.0,598.8
0.0,305.28
0.1,206.685
0.1,123.354
0.0,568.26
0.1,137.994
0.002,177.44752
0.0,175.2
0.0,534.78
0.0,791.46
0.2,28.0784
0.0,377.28
0.0,843.99
0.0,106.32
0.5,-1981.395
0.2,70.5564
0.1,-224.595
0.1,381.75
0.0,282.2092
0.2,82.497
0.7,-695.172
0.0,333.36
0.07,263.2959
0.15,-24.03
0.0,319.74
0.1,-176.769
0.0,208.32
0.0,411.06
0.0,22.38
0.0,49.7
0.0,71.64
0.0,483.84
0.0,394.68
0.0,237.15
0.1,165.735
0.0,146.7693
0.17,-76.5585
0.0,108.6
0.0,511.368
0.2,87.996
0.15,-68.1525
0.0,293.16
0.0,224.58
0.2,185.997
0.0,140.16
0.0,24.22
0.4,-237.576
0.0,203.7
0.2,459.9875
0.07,136.2375
0.0,254.56
0.2,12.128
0.0,686.4
0.1,247.296
0.0,129.84
0.0,153.93
0.55,-976.5
0.0,37.534
0.0,516.06
0.0,392.4
0.2,82.992
0.1,212.76
0.0,55.56
0.0,452.76
0.47,-81.7173
0.0,395.94
0.0,53.04
0.2,376.11
0.3,-161.964
0.5,-615.96
0.2,88.44
0.0,669.72
0.0,238.12
0.0,454.62
0.3,86.319
0.0,210.33
0.07,155.457
0.25,381.675
0.0,396.5
0.1,502.5
0.0,219.582
0.2,150.36
0.1,54.87
0.0,412.468
0.0,0.0
0.1,613.836
0.0,215.7
0.5,-161.55
0.17,676.167
0.0,441.72
0.1,228.585
0.3,420.3
0.15,-0.054
0.0,169.2
0.0,172.08
0.0,347.76
0.5,-27.828
0.2,46.9764
0.0,357.0
0.2,62.82
0.0,379.68
0.0,249.84
0.002,251.71124
0.0,104.25
0.0,332.88
0.07,337.14
0.1,604.35
0.2,-8.112
0.0,0.0
0.0,230.31
0.1,301.812
0.0,272.792
0.0,321.66
0.15,165.75
0.0,269.82
0.15,38.2185
0.2,75.628
0.0,219.9904
0.4,-527.548
0.1,260.982
0.0,94.8
0.0,33.0
0.0,210.6
0.0,495.75
0.0,315.825
0.1,473.595
0.1,19.08
0.1,14.094
0.0,509.04
0.0,711.48
0.0,292.11
0.3,-14.8704
0.0,360.48
0.0,169.68
0.002,131.48112
0.5,-626.52
0.0,444.3
0.0,273.24
0.15,596.0535
0.4,-377.9892
0.0,140.22
0.4,-409.626
0.0,34.23
0.2,44.032
0.2,-99.6219
0.0,33.66
0.0,219.42
0.4,34.92
0.1,-56.322
0.0,162.0948
0.0,264.5865
0.0,311.49
0.0,50.76
0.5,-465.568
0.0,210.4936
0.15,252.795
0.27,-329.8095
0.0,194.94
0.0,107.85
0.0,768.88
0.17,570.828
0.0,171.36
0.1,-25.152
0.1,190.575
0.32,-30.098
0.0,304.08
0.0,541.44
0.0,113.6742
0.0,614.7
0.0,274.386
0.0,278.64
0.0,245.021
0.0,233.2204
0.0,203.7
0.17,628.0368
0.0,170.25
0.0,269.308
0.0,843.99
0.07,938.7954
0.0,105.21
0.0,246.12
0.1,226.845
0.0,260.82
0.0,66.3
0.3,-311.598
0.002,36.93048
0.25,411.33
0.0,117.36
0.0,132.3
0.0,761.76
0.0,199.92
0.0,179.88
0.2,-99.1764
0.0,214.29
0.0,150.384
0.0,217.2
0.1,79.908
0.5,-197.505
0.17,73.458
0.0,328.8
0.0,10.29
0.6,-188.336
0.0,58.72
0.3,-21.808
0.0,680.4
0.0,89.91
0.0,157.05
0.0,136.26
0.0,43.47
0.002,387.29096
0.2,130.2885
0.2,108.3528
0.0,227.88
0.5,-814.4832
0.1,236.67
0.0,395.9604
0.0,409.14
0.2,381.2375
0.2,303.804
0.0,431.04
0.0,271.4192
0.3,-258.5016
0.0,488.6
0.0,144.42
0.2,43.1976
0.1,417.276
0.7,-886.464
0.07,-147.6048
0.0,343.53
0.0,183.33
0.0,989.01
0.0,139.98
0.0,246.96
0.2,339.444
0.0,242.0
0.47,-363.2892
0.0,467.9922
0.0,86.31
